gene_id	symbol	mrna_half_life_h	n_mrna_cell_lines	prot_half_life_h	n_prot_cell_types	measurement_group
HGNC:100	ASIC1	6.196830088488361	7.0			HGNC:100
HGNC:10000	RGS4	0.6280248884259845	2.0			HGNC:10000
HGNC:10001	RGS5	3.7165463943673007	2.0			HGNC:10001
HGNC:10002	RGS6	2.4924608210724126	1.0			HGNC:10002
HGNC:10003	RGS7	1.8986868917403192	2.0			HGNC:10003
HGNC:10004	RGS9	2.794839216003083	1.0			HGNC:10004
HGNC:10006	RHAG	12.05025187547828	1.0			HGNC:10006
HGNC:10007	RHBDL1	1.7968440689420986	3.0			HGNC:10007
HGNC:10008	RHCE	6.975699537032252	1.0			HGNC:10008
HGNC:10009	RHD	6.589535943150699	1.0			HGNC:10009
HGNC:1001	BCL6	0.5360549174449589	8.0			HGNC:1001
HGNC:10011	RHEB	2.6078063061864736	11.0	38.392265135178164	4.0	HGNC:10011
HGNC:10018	RING1	5.326278305077084	10.0	67.42957737197048	3.0	HGNC:10018
HGNC:10019	RIPK1	1.2202113936636725	11.0	48.544344255336256	3.0	HGNC:10019
HGNC:1002	BCL6B	0.81181099944291	3.0			HGNC:1002
HGNC:10020	RIPK2	1.6402431111343572	11.0	60.22612534129389	1.0	HGNC:10020
HGNC:10021	RIPK3	3.81128491166979	2.0	43.81053489917419	2.0	HGNC:10021
HGNC:10023	RIT1	0.9856653781630931	11.0	34.768630079589805	2.0	HGNC:10023
HGNC:10025	RLF	0.691467924926786	11.0			HGNC:10025
HGNC:10027	RLN2	3.5001875582763304	1.0			HGNC:10027
HGNC:10031	RMRP	8.785447015793846	6.0			HGNC:10031
HGNC:10037	RN7SK	16.406563492456062	7.0			HGNC:10037
HGNC:10038	RN7SL1	8.300823212894985	11.0			HGNC:10038
HGNC:1004	BCL7A	0.9159632785425353	11.0			HGNC:1004
HGNC:10044	RNASE1	7.5982318923184655	2.0			HGNC:10044
HGNC:10045	RNASE2	12.074937703262794	2.0			HGNC:10045
HGNC:10046	RNASE3	8.564754229757211	2.0	66.91846047585459	1.0	HGNC:10046
HGNC:10047	RNASE4	3.43435376318173	3.0	27.26541167143858	1.0	HGNC:10047
HGNC:10048	RNASE6	5.055137017257806	2.0	53.476051256993465	1.0	HGNC:10048
