gene_id	symbol	mrna_half_life_h	prot_half_life_h	measurement_group
MGI:101757	Cfl1	14.389999999999999	67.29999999999998	Cfl1
MGI:101760	Sfswap	6.160000000000001	22.139999999999997	Sfrs8
MGI:101761	Hmga2	5.51	200.51999999999995	Hmga2;Hmgic
MGI:101763	Cfl2	9.819999999999999	73.97999999999999	Cfl2
MGI:101765	Cdk5	11.130000000000003	84.96	Cdk5;Crk6
MGI:101771	Sntb2	6.2299999999999995	84.42	Sntb2;Snt2b2
MGI:101784	Nes	15.100000000000003	53.529999999999994	Nes
MGI:101789	Lig1	12.960000000000004	28.509999999999998	Lig1;Lig-1
MGI:101790	Fabp5	25.59	97.07999999999997	Fabp5;Fabpe;Klbp;Mal1
MGI:101805	Gys1	13.19	174.80999999999997	Gys1;Gys;Gys3
MGI:101816	Msh2	11.559999999999999	85.86999999999996	Msh2
MGI:101834	Tubg1	11.770000000000001	46.830000000000005	Tubg1;Tubg;Tubg2
MGI:101836	Traf1	6.700000000000001	20.100000000000005	Traf1
MGI:101839	Rpl28		134.93000000000004	Rpl28
MGI:101845	Mcm3	11.98	57.93999999999998	Mcm3;Mcmd;Mcmd3
MGI:101849	Rack1	18.99	73.49999999999997	Gnb2l1;Gnb2-rs1
MGI:101857	Usp15	13.489999999999998	47.77000000000001	Usp15
MGI:101876	Tead1	9.13	15.509999999999998	Tead1;Tcf13;Tef-1;Tef1;mCG_15837;Tead3;RP24-68J3.4-007;Tead2;Etdf;Etf;Tef4;Tcf13r2;Tef5
MGI:101900	Mmp14	9.08	4.82	Mmp14;Mtmmp
MGI:101912	Dad1	13.999999999999996	107.99	Dad1
MGI:101917	Bcap29	10.03	53.28	Bcap29;Bap29
MGI:101919	Ap1g1	6.01	91.18000000000004	Ap1g1;Adtg;Clapg1
MGI:101920	Ap2a2	19.78	102.89999999999996	Ap2a2;Adtab
MGI:101921	Ap2a1	14.19	60.82	Ap2a1;Adtaa;Clapa1
MGI:101924	Slc12a2	12.97	29.45	Slc12a2;Nkcc1
MGI:101934	Tfdp1	6.160000000000001	6.9399999999999995	Tfdp1
MGI:101940	Arhgdib	13.95	240.14000000000001	Arhgdib;Gdid4
MGI:101947	Hnrnpd	22.130000000000003	129.55000000000007	Hnrnpd;Auf1;Hnrpd
MGI:102465	Tex2	9.709999999999999	50.22	Tex2;Kiaa1738;RP23-436M12.1-002
MGI:102467	Ptpn14	10.379999999999999	14.640000000000004	Ptpn14
MGI:102498	mt-Nd4		192.17000000000004	Mtnd4;mt-Nd4;Nd4
MGI:102503	mt-Co2		344.3799999999999	Mtco2;COII;mt-Co2
MGI:102504	mt-Co1		151.54	mt-Co1;COXI;Mtco1;COI
MGI:102519	Cst3	20.110000000000003	5.360000000000001	Cst3;RP23-250M11.9-002
MGI:102520	Phb2	9.850000000000001	296.0200000000001	Phb2;Bap;Bcap37;Rea
MGI:102547	Fau		77.78000000000002	Fau
MGI:102548	Tsc2	15.81	35.96999999999999	Tsc2
MGI:102579	Nmt1	9.169999999999998	64.54999999999998	Nmt1
MGI:102581	Rdh11	6.07	71.29999999999998	Rdh11;Arsdr1;Mdt1;Psdr1
MGI:102657	Cdc34	9.2	12.97	Cdc34;Ube2r1
MGI:102666	Ppp5c	10.429999999999998	81.76999999999997	Ppp5c
MGI:102676	Abcc1	13.650000000000002	66.13000000000001	Abcc1;Abcc1a;Abcc1b;Mdrap;Mrp
MGI:102682	Llgl1	9.260000000000002	39.86000000000001	Llgl1;Llglh
MGI:102685	Cdc27	5.45	18.22	Cdc27;RP23-380H19.2-001;mCG_11216
MGI:102688	H2ax	5.27	80.92	H2afx;H2a.x;H2ax;Hist5-2ax
MGI:102690	Srm	9.630000000000003	109.94999999999997	Srm
MGI:102705	Gng2		33.83	Gng2
MGI:102709	Cav1	13.0	461.36999999999983	Cav1;Cav
MGI:102722	Pcnt	10.6	11.319999999999999	Pcnt;Pcnt2
MGI:102724	Tpp2		118.27000000000001	Tpp2
MGI:102726	Dck	5.690000000000001	7.660000000000002	Dck
MGI:102744	Nelfe	13.070000000000004	34.77000000000001	Rdbp;D17h6s45;Nelfe;Rd
MGI:102749	Trim25	6.84	14.860000000000001	Trim25;RP23-176J13.7-001;Efp;Zfp147;Znf147;RP23-176J13.7-002;RP23-176J13.7-003
MGI:102772	Gbp2	17.659999999999997	328.4299999999999	Gbp2
MGI:102774	Aimp1	10.640000000000002	79.35	Aimp1;Emap2;Scye1
MGI:102776	Ap1m1	9.57	67.83	Ap1m1;Cltnm
MGI:102779	Fen1	5.42	38.580000000000005	Fen1;Fen-1
MGI:102784	Tgfb1i1	7.86	8.24	Tgfb1i1;Ara55
MGI:102790	Rab18	12.749999999999996	46.260000000000005	Rab18
MGI:102809	Sars1	11.830000000000002	104.55999999999996	Sars;Sars1;RP23-37G19.1-002;mCG_4072;Sers;RP23-37G19.1-004
MGI:102854	Rpl5		115.01000000000003	Rpl5
MGI:102956	Cdk7	8.309999999999999	18.21	Cdk7;Cdkn7;Crk4;Mo15;Mpk-7
MGI:102959	Ube2a	15.289999999999997	11.74	Ube2a;Rad6a
MGI:102964	Srprb	14.779999999999996	25.830000000000002	Srprb
MGI:103008	Epb41l3	16.37	54.48	Epb41l3;Dal1;Epb4.1l3;Kiaa0987
MGI:103009	Epb41l2	16.339999999999996	58.31999999999999	Epb4.1l2;Epb41l2
MGI:103010	Epb41l1	14.219999999999997	157.59000000000006	Epb41l1;Epb4;Epb4.1l1;Kiaa0338;RP23-55C8.1-006;mCG_5224;RP23-55C8.1-002;RP23-55C8.1-008
MGI:103016	Ppp1ca	15.750000000000002	26.340000000000003	Ppp1ca;Ppp1a
MGI:103025	Mtx1	9.78	25.48	Mtx1;Mtx;Mtxn
MGI:103027	Tarbp2	8.91	34.37	Tarbp2;Prbp;mCG_17581
MGI:103034	Stat6	13.33	24.279999999999998	Stat6
MGI:103036	Stat5a	8.76	49.24	Stat5a;Mgf;Mpf
MGI:103038	Stat3	12.749999999999996	22.119999999999997	Stat3;Aprf;RP23-279L23.5-011
MGI:103040	Rsu1	12.879999999999999	33.0	Rsu1;RP23-415C3.3-001;mCG_15700;Rsp1;RP23-415C3.3-006
MGI:103060	Ecm1	19.48	3.0599999999999996	Ecm1
MGI:103063	Stat1	17.529999999999998	641.8099999999997	Stat1
MGI:103064	Ddx3x	6.2299999999999995	43.03999999999999	Ddx3x;D1Pas1-rs2;Ddx3;Dead3;Erh;Ddx3y;D1Pas1-rs1;Dead2
MGI:103067	Atrx	9.850000000000001	34.81	Atrx;Hp1bp2;Xnp;RP23-170G19.5-001;RP23-170G19.5-014
MGI:103071	Rangap1	11.729999999999999	15.529999999999998	Rangap1;Fug1
MGI:103072	Zyx	10.749999999999998	17.969999999999995	Zyx
MGI:103078	Spr	12.960000000000004	157.88999999999996	Spr
MGI:103079	Pura	3.8999999999999995	419.99999999999994	Pura
MGI:103097	Anapc1	20.37	35.06	Anapc1;RP23-464B2.2-001;mCG_20990;Mcpr;Tsg24;RP23-464B2.2-005
MGI:103099	Cox6a1	13.5	75.2	Cox6a1;Cox6al
MGI:103123	Serpinb6a	11.729999999999999	162.04999999999998	Serpinb6a;Serpinb6;Spi3
MGI:103147	Dync1h1	23.58	113.45000000000002	Dync1h1;Dhc1;Dnch1;Dnchc1;Dyhc
MGI:103187	Nqo1	11.410000000000002	61.32	Nqo1;Dia4;Nmo1;Nmor1
MGI:103188	Nfib	7.519999999999998	20.200000000000003	Nfib
