gene,species,match,matched_symbol,ortholog,mrna_half_life_h,mrna_source,mrna_neighbors,protein_half_life_h,protein_source,protein_neighbors,d0,d1,d0_assigned,d1_assigned
1110008F13Rik,mouse,synonym,Rab5if,RAB5IF,12.158556439427574,estimated:ortholog+function,"ortholog: RAB5IF (human) | function: Nomo1 (0.62), Ncln (0.53), Emc8 (0.40), Emc3 (0.40), Emc1 (0.40), Emc4 (0.40), Emc7 (0.39), Emc2 (0.37)",38.825517234905206,estimated:function,"function: Nomo1 (0.62), Ncln (0.53), Emc8 (0.40), Emc3 (0.40), Emc1 (0.40), Emc4 (0.40), Emc7 (0.39), Emc2 (0.37)",0.05700900300238099,0.017852876920253544,0.6239082557310984,0.050152649553876334
2810417H13Rik,mouse,synonym,Pclaf,PCLAF,13.70043679077954,estimated:ortholog+function,"ortholog: PCLAF (human) | function: Pold2 (0.25), Pold3 (0.23), Txndc9 (0.22), Haus5 (0.22), Haus1 (0.21), Haus6 (0.21), Haus3 (0.20), Dctn6 (0.20)",27.70539276818079,estimated:function,"function: Pold2 (0.25), Pold3 (0.23), Txndc9 (0.22), Haus5 (0.22), Haus1 (0.21), Haus6 (0.21), Haus3 (0.20), Dctn6 (0.20)",0.05059307167684148,0.025018493199490534,0.6239082557310984,0.050152649553876334
AY036118,mouse,symbol,AY036118,,9.057323181674048,estimated:function,"function: Slc7a6os (0.29), Armc6 (0.28), Mxra7 (0.24), Rpl22l1 (0.24), Tpd52 (0.21), Prrc2c (0.19), Rsl24d1 (0.18), Gpatch8 (0.15)",52.047435423694914,estimated:function,"function: Slc7a6os (0.29), Rps18-ps5 (0.29), Armc6 (0.28), Mxra7 (0.24), Rpl22l1 (0.24), Tpd52 (0.21), Prrc2c (0.19), Rsl24d1 (0.18)",0.07652892213920451,0.013317604890948877,0.6706708653800526,0.05209396364493856
Ascl2,mouse,symbol,Ascl2,ASCL2,7.244409197235646,estimated:ortholog+family+function,"ortholog: ASCL2 (human) | family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1 | function: Cbfb (0.30), Lgals1 (0.24), Cebpb (0.22), Stat5a (0.21), Stat6 (0.20), Anxa1 (0.17), Gabpa (0.17), Atf7 (0.17)",19.857262175616352,estimated:family+function,"family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1,Max | function: Cbfb (0.30), Lgals1 (0.24), Cebpb (0.22), Stat5a (0.21), Stat6 (0.20), Anxa1 (0.17), Gabpa (0.17), Atf7 (0.17)",0.09568029106147669,0.03490648279857495,0.6706708653800526,0.05209396364493856
Batf3,mouse,symbol,Batf3,BATF3,8.807814623703148,estimated:ortholog+function,"ortholog: BATF3 (human) | function: Mafk (0.49), Myef2 (0.45), Cc2d1b (0.45), Nacc1 (0.43), Zfp148 (0.40), Nfic (0.39), Lrrfip1 (0.38), Nkrf (0.38)",29.24440235997299,estimated:function,"function: Mafk (0.49), Myef2 (0.45), Cc2d1b (0.45), Nacc1 (0.43), Zfp148 (0.40), Nfic (0.39), Lrrfip1 (0.38), Nkrf (0.38)",0.07869684026893373,0.023701875388934618,0.7797179878108413,0.04563240596450727
Bbx,mouse,symbol,Bbx,BBX,7.24158577687929,estimated:ortholog+function,"ortholog: BBX (human) | function: Rfx1 (0.70), Zfp280c (0.62), Zfp771 (0.58), Mafk (0.50), Nacc1 (0.49), Zfa-ps (0.49), Ubp1 (0.46), Zfp422 (0.43)",16.162006756134257,estimated:ortholog+function,"ortholog: BBX (human) | function: Rfx1 (0.70), Zfp280c (0.62), Zfp771 (0.58), Mafk (0.50), Nacc1 (0.49), Zfa-ps (0.49), Ubp1 (0.46), Zfp422 (0.43)",0.0957175958300465,0.04288744529183312,0.7797179878108413,0.04563240596450727
Bgn,mouse,symbol,Bgn,BGN,28.309999999999995,measured,,0.62,measured,,0.024484181581064832,1.1179793234837827,0.7797179878108413,0.04563240596450727
Bhlhe40,mouse,symbol,Bhlhe40,BHLHE40,4.657022587596506,estimated:ortholog+family+function,"ortholog: BHLHE40 (human) | family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1 | function: Mafk (0.40), Cc2d1b (0.36), Myef2 (0.36), Lrrfip1 (0.36), Nacc1 (0.34), Zfp148 (0.34), Mnt (0.32), Nfic (0.32)",13.19945367460489,estimated:ortholog+family+function,"ortholog: BHLHE40 (human) | family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1,Max | function: Mafk (0.40), Cc2d1b (0.36), Myef2 (0.36), Lrrfip1 (0.36), Nacc1 (0.34), Zfp148 (0.34), Max (0.32), Mnt (0.32)",0.1488391279024651,0.05251332347895026,0.7797179878108413,0.04563240596450727
Blvrb,mouse,symbol,Blvrb,BLVRB,16.75,measured,,171.21999999999997,measured,,0.04138192122745942,0.004048283965424281,0.7797179878108413,0.04563240596450727
Ccl7,mouse,symbol,Ccl7,CCL7,10.028299682057028,estimated:function,"function: Oxsr1 (0.18), Rps19 (0.16), Lgals3 (0.15), Stk39 (0.15), Tradd (0.14), Nup85 (0.14), Cd47 (0.14), Hmgb2 (0.13)",43.355029440596965,estimated:function,"function: Oxsr1 (0.18), Rps19 (0.16), Lgals3 (0.15), Stk39 (0.15), Tradd (0.14), Nup85 (0.14), Cd47 (0.14), Hmgb2 (0.13)",0.06911911316333591,0.015987699455023163,0.5966858407282591,0.053569347571145565
Cdc5l,mouse,symbol,Cdc5l,CDC5L,9.009999999999998,measured,,34.06000000000001,measured,,0.07693087464594289,0.02035076866001013,0.5966858407282591,0.053569347571145565
Cdkn2a,mouse,symbol,Cdkn2a,CDKN2A,11.252546378486958,measured,,14.914389025367413,measured,,0.06159914007420846,0.04647506373750833,0.5966858407282591,0.053569347571145565
Cdkn2b,mouse,symbol,Cdkn2b,"CDKN2A,CDKN2B",3.6899999999999986,measured,,103.51000000000002,measured,,0.18784476437938905,0.006696427210510532,0.5966858407282591,0.053569347571145565
