gene,selection_summary,sample_0.0-temporal_0.0,sample_0.0-temporal_108.0,sample_0.0-temporal_12.0,sample_0.0-temporal_120.0,sample_0.0-temporal_132.0,sample_0.0-temporal_144.0,sample_0.0-temporal_156.0,sample_0.0-temporal_168.0,sample_0.0-temporal_180.0,sample_0.0-temporal_192.0,sample_0.0-temporal_204.0,sample_0.0-temporal_216.0,sample_0.0-temporal_228.0,sample_0.0-temporal_24.0,sample_0.0-temporal_240.0,sample_0.0-temporal_252.0,sample_0.0-temporal_264.0,sample_0.0-temporal_276.0,sample_0.0-temporal_288.0,sample_0.0-temporal_300.0,sample_0.0-temporal_312.0,sample_0.0-temporal_324.0,sample_0.0-temporal_336.0,sample_0.0-temporal_348.0,sample_0.0-temporal_36.0,sample_0.0-temporal_360.0,sample_0.0-temporal_372.0,sample_0.0-temporal_384.0,sample_0.0-temporal_396.0,sample_0.0-temporal_408.0,sample_0.0-temporal_420.0,sample_0.0-temporal_48.0,sample_0.0-temporal_60.0,sample_0.0-temporal_72.0,sample_0.0-temporal_84.0,sample_0.0-temporal_96.0,sample_0.0-celltype_Epithelial,sample_0.0-celltype_MEF,sample_0.0-celltype_Neural,sample_0.0-celltype_Stromal,sample_0.0-celltype_Trophoblast,sample_0.0-celltype_iPSC
1110008F13Rik,temporal - 288.0 - 2,0.42962962962962964,0.2,0.34066515495086924,0.5036281179138322,0.32592592592592595,0.45925925925925926,0.674074074074074,0.3111111111111111,0.1333333333333333,0.2518518518518518,0.11111111111111113,0.1185185185185185,0.674074074074074,0.2962962962962963,0.4888888888888889,0.4148148148148148,0.007407407407407335,0.05925925925925932,0.0222222222222222,0.13333333333333333,0.45925925925925926,0.4740740740740741,0.1777777777777778,0.04444444444444448,0.6814814814814816,0.40740740740740744,0.2888888888888888,0.2592592592592592,0.09629629629629632,0.2962962962962963,0.08148148148148149,0.23703703703703707,0.3925925925925926,0.26666666666666666,0.27407407407407414,0.16296296296296298,0.10017862228517194,0.48047044620407897,0.28482521120828475,0.21848565393477704,0.12291880711333886,0.020230346982745617
2810417H13Rik,temporal - 12.0 - 2,0.11111111111111115,1.4814814814814814,0.20249433106575965,0.4765684051398337,0.17037037037037034,0.05925925925925929,0.3925925925925926,0.32592592592592595,0.014814814814814808,0.04444444444444434,0.07407407407407399,0.4962962962962963,0.12592592592592594,0.4740740740740741,0.05925925925925918,0.3925925925925926,0.19999999999999996,0.12592592592592594,0.38518518518518524,0.274074074074074,0.05185185185185184,0.014814814814814725,0.05925925925925929,0.007407407407407474,0.029629629629629645,0.04444444444444448,0.007407407407407363,0.22222222222222215,0.08888888888888896,0.1185185185185186,0.029629629629629645,0.04444444444444437,0.07407407407407413,0.09629629629629632,0.014814814814814836,0.0,0.14111626021386436,0.01876992019971707,0.2093530378481943,0.4404762868218757,0.3475694565223846,0.15350319220987374
AY036118,temporal - 36.0 - 2 / temporal - 216.0 - 1 / temporal - 324.0 - 2,0.9925925925925927,0.02222222222222217,0.13272864701436135,1.1475434618291762,0.2888888888888889,0.4740740740740741,0.43703703703703706,0.6666666666666667,0.3185185185185184,0.14814814814814814,0.08148148148148149,0.2740740740740741,0.0962962962962963,0.17037037037037045,0.3111111111111111,1.0666666666666669,0.11851851851851858,0.26666666666666666,1.074074074074074,0.4740740740740741,0.45185185185185184,0.11851851851851852,0.3333333333333333,0.23703703703703707,0.07407407407407404,0.05925925925925929,0.1185185185185185,0.7629629629629631,0.037037037037037035,0.08888888888888885,0.20740740740740743,0.18518518518518523,0.1925925925925926,0.16296296296296298,0.08148148148148149,0.5481481481481483,0.03749180626866466,0.31687155535251654,0.27899355019861427,0.05804557767524027,0.4488489310563364,0.15210440475388004
Bgn,celltype - Stromal - 2,0.022222222222222296,0.2148148148148149,0.10430839002267564,1.1327286470143614,0.19999999999999998,0.06666666666666665,0.22962962962962963,0.14814814814814814,0.08148148148148149,0.02222222222222217,0.03703703703703701,0.3185185185185184,0.11851851851851852,0.237037037037037,0.17037037037037034,0.12592592592592594,0.25185185185185177,0.10370370370370377,0.3333333333333333,0.2740740740740741,0.13333333333333336,0.08148148148148149,0.07407407407407401,0.10370370370370369,0.007407407407407363,0.1555555555555555,0.4740740740740741,0.2,0.16296296296296298,0.11111111111111105,0.04444444444444445,0.2518518518518518,0.16296296296296298,0.02222222222222231,0.1555555555555556,0.007407407407407474,0.5925501684872373,0.8249164744427382,0.3594277762637399,0.737950449799466,0.5162995774111363,0.6514779462718677
Blvrb,temporal - 324.0 - 1 / temporal - 396.0 - 1,0.0222222222222222,0.32592592592592595,0.2517762660619803,0.3777021919879062,0.07407407407407401,0.08148148148148149,0.14074074074074067,0.37777777777777777,0.007407407407407474,0.014814814814814808,0.17037037037037048,0.17037037037037028,0.3925925925925926,0.07407407407407401,0.029629629629629534,0.2148148148148148,0.37777777777777777,0.11111111111111102,0.3555555555555555,0.2814814814814815,0.04444444444444451,0.07407407407407415,0.23703703703703713,0.07407407407407401,0.059259259259259234,0.09629629629629632,0.4296296296296297,0.8148148148148149,0.17037037037037034,0.2666666666666667,0.40740740740740744,0.2814814814814815,0.11851851851851847,0.5407407407407407,0.1777777777777778,0.04444444444444445,0.16368148950927325,0.009264580546652967,0.372550768443046,0.033815639833622624,0.11262430144728836,0.8508294110576966
Ccl7,temporal - 120.0 - 1,0.04444444444444445,0.1925925925925926,0.700151171579743,0.5149659863945579,0.16296296296296298,0.2518518518518518,0.22962962962962963,0.2962962962962963,0.07407407407407401,0.11851851851851852,0.4,0.2814814814814815,0.45925925925925926,0.029629629629629617,0.09629629629629632,0.3185185185185185,0.16296296296296298,0.11111111111111116,0.014814814814814836,0.1407407407407408,0.13333333333333344,0.12592592592592597,0.04444444444444448,0.10370370370370366,0.04444444444444437,0.08148148148148149,0.16296296296296287,0.007407407407407474,0.04444444444444448,0.1185185185185185,0.00740740740740746,0.09629629629629631,0.06666666666666665,0.02962962962962966,0.022222222222222185,0.06666666666666676,0.3937534250749126,0.4822247081635302,0.07144620898677828,0.11986019855689573,0.2472948289070805,0.7454880901558104
Chchd10,temporal - 192.0 - 2,0.1185185185185186,0.10370370370370378,0.19697656840513988,0.011791383219954599,0.4444444444444444,0.36296296296296293,0.46666666666666673,0.7555555555555556,0.18518518518518523,0.029629629629629672,0.2370370370370371,0.6666666666666667,0.5185185185185186,0.3111111111111111,0.3407407407407408,0.9777777777777779,1.1037037037037036,0.14074074074074083,0.8296296296296295,0.10370370370370369,0.0,0.18518518518518517,0.17037037037037034,0.19999999999999996,0.007407407407407363,0.059259259259259234,0.04444444444444445,0.3185185185185185,0.02222222222222231,0.22962962962962963,0.4888888888888889,0.0222222222222222,0.1555555555555555,0.19999999999999998,0.17777777777777778,0.08148148148148149,0.2145827047417213,0.4504402528183282,0.17823336554104824,0.529197405757541,0.46591571808291765,1.166826268244065
Cldn7,celltype - Epithelial - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407357,0.007407407407407357,0.007407407407407357,0.022222222222222296,0.02222222222222218,0.014814814814814826,0.0,0.1555555555555556,0.06666666666666676,0.18518518518518526,0.13333333333333333,0.16296296296296298,0.0962962962962963,0.051851851851851816,0.1481481481481481,0.014814814814814808,0.162962962962963,0.14074074074074083,0.029629629629629645,0.08148148148148146,0.11851851851851858,0.13333333333333341,0.10370370370370366,0.17777777777777778,0.0,0.05185185185185184,0.03703703703703701,0.014814814814814836,0.04444444444444445,0.9160769789686118,0.31142072888896044,0.3156356068676758,0.2790947976027652,0.17258797288847674,0.30848934164616804
Col1a2,celltype - MEF - 2 / celltype - Stromal - 3,0.04444444444444448,0.08148148148148149,0.040665154950869226,0.31473922902494333,0.007407407407407474,0.12592592592592597,0.7481481481481482,0.12592592592592594,0.14814814814814814,0.08888888888888885,0.05925925925925929,0.22222222222222227,0.274074074074074,0.42962962962962964,0.14814814814814814,0.029629629629629645,0.19259259259259262,0.014814814814814836,0.5333333333333332,0.0,0.2666666666666667,0.2592592592592593,0.08888888888888885,0.2,0.07407407407407413,0.09629629629629632,0.3407407407407408,0.05925925925925929,0.07407407407407401,0.05185185185185193,0.11111111111111105,0.2148148148148148,0.10370370370370369,0.09629629629629632,0.11851851851851847,0.029629629629629672,0.7343111785558467,0.93767322049667,0.2004257199250138,0.7255892213071953,0.41109641490913196,0.9974299687894213
Csrp2,temporal - 384.0 - 2,0.44444444444444453,0.36296296296296293,0.4044595616024187,0.6118669690098262,0.30370370370370375,0.007407407407407446,0.6296296296296295,0.3777777777777778,0.007407407407407474,0.05185185185185187,0.06666666666666665,0.11851851851851852,0.0444444444444444,0.05925925925925929,0.24444444444444446,0.41481481481481475,0.28148148148148144,0.014814814814814836,0.037037037037037035,0.06666666666666665,0.0888888888888889,0.0,0.37777777777777777,0.01481481481481478,0.12592592592592583,0.08148148148148138,0.4518518518518519,0.5629629629629629,0.007407407407407474,0.288888888888889,0.3851851851851853,0.04444444444444448,0.45925925925925926,0.4518518518518518,0.10370370370370369,0.022222222222222143,0.26908243327477993,0.19817720396297772,0.2898264912584958,0.04749348992204866,0.0020256437883849343,0.524410838355879
