gene,gene_index,dispersion_phi,reference_batch,reference_depth
Fam162a,0,1.2924627379442746,single_batch,151.0
Lncenc1,1,1.7830752984800047,single_batch,151.0
Fos,2,3.245260113805955,single_batch,151.0
Cited2,3,5.460882521586063,single_batch,151.0
Xist,4,1.0092426506102217,single_batch,151.0
Id3,5,1.7937916978823143,single_batch,151.0
Pparg,6,9.082923912343857,single_batch,151.0
Mycn,7,3.1153864639999993,single_batch,151.0
Gabarap,8,0.6795589280022385,single_batch,151.0
Tcl1,9,2.1214570072589964,single_batch,151.0
Ncam1,10,2.575965192719344,single_batch,151.0
Bbx,11,1.9275868736763075,single_batch,151.0
Cenpm,12,1.6184863668915372,single_batch,151.0
Bgn,13,2.365059281820734,single_batch,151.0
Prr5,14,2.7673719625703366,single_batch,151.0
Ctsl,15,1.9330852567523662,single_batch,151.0
Cyb5r3,16,1.0619923224293757,single_batch,151.0
Ovol2,17,5.432042041343469,single_batch,151.0
Tomm40,18,1.0924854076027708,single_batch,151.0
Prss23,19,2.3102924319157006,single_batch,151.0
Dppa5a,20,1.774922666093782,single_batch,151.0
Chchd10,21,1.798914426069903,single_batch,151.0
Spic,22,3.8943707068027242,single_batch,151.0
Sox2,23,2.150078465800789,single_batch,151.0
Hesx1,24,2.600806552426962,single_batch,151.0
Klf2,25,2.4956435231264025,single_batch,151.0
Shisa8,26,5.47475846997589,single_batch,151.0
Nupr1,27,2.16623101522783,single_batch,151.0
Obox6,28,2.513991783631086,single_batch,151.0
Sdc4,29,1.5351899867089513,single_batch,151.0
Zfp42,30,1.9105927788427437,single_batch,151.0
Scand1,31,1.1353252887673246,single_batch,151.0
Cdkn2b,32,1.9597521786551901,single_batch,151.0
S100a6,33,0.7066796722230009,single_batch,151.0
Fmr1nb,34,1.70770067156445,single_batch,151.0
Mgp,35,4.308244052755632,single_batch,151.0
Lox,36,4.675061303011856,single_batch,151.0
Tax1bp3,37,0.9141798917614193,single_batch,151.0
AY036118,38,1.4577305620743588,single_batch,151.0
Tnfrsf12a,39,1.6200328733801015,single_batch,151.0
Epcam,40,3.7427559687628382,single_batch,151.0
Psme1,41,0.75866623839408,single_batch,151.0
Mrps24,42,0.9519925417383202,single_batch,151.0
Vps8,43,3.4608996193355543,single_batch,151.0
Vbp1,44,1.0290924480839025,single_batch,151.0
Prkcdbp,45,1.6062321573174425,single_batch,151.0
Nr2f1,46,5.6122744038993275,single_batch,151.0
Txnip,47,1.4236467518215228,single_batch,151.0
Pdgfb,48,7.7914916440694375,single_batch,151.0
Myc,49,1.1900127574187367,single_batch,151.0
Dynll2,50,1.0193676375360168,single_batch,151.0
Klf4,51,2.0530576013187103,single_batch,151.0
Tmem35,52,1.2358409603289688,single_batch,151.0
Gata3,53,4.997871689110439,single_batch,151.0
Nmt1,54,1.0098273961869177,single_batch,151.0
S100a1,55,1.3180366522704579,single_batch,151.0
Hspb1,56,4.000344978422893,single_batch,151.0
Snhg6,57,1.0084139841069801,single_batch,151.0
Ascl2,58,18.545432659639715,single_batch,151.0
Ereg,59,4.157335132521819,single_batch,151.0
Blvrb,60,0.9897010004084468,single_batch,151.0
Fabp3,61,2.642411306063015,single_batch,151.0
Marcksl1,62,1.3347379409742572,single_batch,151.0
Cldn7,63,3.5499863352677075,single_batch,151.0
Batf3,64,14.8695615072958,single_batch,151.0
Hes1,65,3.0447064999793514,single_batch,151.0
Vcam1,66,3.438851090486265,single_batch,151.0
Bhlhe40,67,1.3330773177039983,single_batch,151.0
Gng12,68,0.627316997309511,single_batch,151.0
Gadd45b,69,1.6888155717529314,single_batch,151.0
Ypel3,70,1.1798965980002798,single_batch,151.0
Hist1h2ap,71,3.940079963616833,single_batch,151.0
Snhg9,72,2.4889142878577633,single_batch,151.0
Gstp1,73,1.610465964818306,single_batch,151.0
Ecscr,74,2.116863800610282,single_batch,151.0
Wnt7b,75,5.379997564523847,single_batch,151.0
Nfic,76,1.0550625237719495,single_batch,151.0
Krt8,77,5.7495663137521875,single_batch,151.0
Ddit3,78,2.15149325200165,single_batch,151.0
Ggh,79,1.5768220450770885,single_batch,151.0
Dppa4,80,1.7936257620387401,single_batch,151.0
Gm26917,81,1.6741129040772986,single_batch,151.0
Ccl7,82,4.006978884666514,single_batch,151.0
Thbs1,83,4.125258996267536,single_batch,151.0
Csrp2,84,1.276022324998476,single_batch,151.0
Rala,85,1.0928567698611245,single_batch,151.0
Egr1,86,3.191360380056494,single_batch,151.0
Col1a2,87,2.981381433089694,single_batch,151.0
Pitx2,88,9.730249420242027,single_batch,151.0
Nme2,89,1.8187353380809248,single_batch,151.0
Mylpf,90,2.2480290918895505,single_batch,151.0
2810417H13Rik,91,1.5248057107069624,single_batch,151.0
Fam20c,92,1.6496648825832596,single_batch,151.0
Ube2s,93,1.2920976467932985,single_batch,151.0
Vapa,94,0.7963248459870818,single_batch,151.0
1110008F13Rik,95,1.0615989255460503,single_batch,151.0
Pou3f1,96,7.916611427922954,single_batch,151.0
Cdc5l,97,1.1281408025207156,single_batch,151.0
Gata2,98,5.478215482590769,single_batch,151.0
Hmgn5,99,3.6700526726809883,single_batch,151.0
Mybl2,100,1.9546376594051629,single_batch,151.0
Dmrtc2,101,3.5276102677787,single_batch,151.0
Erdr1,102,1.4724802748965211,single_batch,151.0
Cdkn2a,103,1.3298029434028393,single_batch,151.0
Esrrb,104,1.9051099955819042,single_batch,151.0
Msx2,105,6.731928312556542,single_batch,151.0
Sri,106,1.173251330343694,single_batch,151.0
Elf3,107,2.711597927523884,single_batch,151.0
