gene,selection_summary,sample_0.0-temporal_0.0,sample_0.0-temporal_108.0,sample_0.0-temporal_12.0,sample_0.0-temporal_120.0,sample_0.0-temporal_132.0,sample_0.0-temporal_144.0,sample_0.0-temporal_156.0,sample_0.0-temporal_168.0,sample_0.0-temporal_180.0,sample_0.0-temporal_192.0,sample_0.0-temporal_204.0,sample_0.0-temporal_216.0,sample_0.0-temporal_228.0,sample_0.0-temporal_24.0,sample_0.0-temporal_240.0,sample_0.0-temporal_252.0,sample_0.0-temporal_264.0,sample_0.0-temporal_276.0,sample_0.0-temporal_288.0,sample_0.0-temporal_300.0,sample_0.0-temporal_312.0,sample_0.0-temporal_324.0,sample_0.0-temporal_336.0,sample_0.0-temporal_348.0,sample_0.0-temporal_36.0,sample_0.0-temporal_360.0,sample_0.0-temporal_372.0,sample_0.0-temporal_384.0,sample_0.0-temporal_396.0,sample_0.0-temporal_408.0,sample_0.0-temporal_420.0,sample_0.0-temporal_48.0,sample_0.0-temporal_60.0,sample_0.0-temporal_72.0,sample_0.0-temporal_84.0,sample_0.0-temporal_96.0,sample_0.0-celltype_Epithelial,sample_0.0-celltype_MEF,sample_0.0-celltype_Neural,sample_0.0-celltype_Stromal,sample_0.0-celltype_Trophoblast,sample_0.0-celltype_iPSC
1110008F13Rik,temporal - 288.0 - 3 / temporal - 300.0 - 2 / temporal - 384.0 - 4 / temporal - 408.0 - 3,0.41481481481481486,0.40740740740740744,0.6348631239935587,0.7237520128824477,0.1555555555555555,0.38518518518518513,0.7037037037037037,0.25925925925925924,0.08888888888888896,0.08148148148148149,0.17777777777777778,0.20740740740740743,0.8222222222222222,0.2518518518518519,0.5925925925925926,0.33333333333333337,0.04444444444444448,0.09629629629629632,0.05925925925925932,0.1185185185185186,0.3333333333333334,0.45925925925925926,0.24444444444444446,0.06666666666666668,0.5999999999999999,0.4296296296296296,0.12592592592592597,0.17777777777777778,0.16296296296296298,0.35555555555555557,0.07407407407407401,0.2962962962962963,0.4444444444444444,0.18518518518518517,0.28888888888888886,0.09629629629629632,0.1259433545357081,0.48026437005430656,0.2884456359326899,0.19880084059168213,0.17816848639203758,0.021627231681552617
2810417H13Rik,temporal - 12.0 - 2 / temporal - 156.0 - 5,0.1333333333333333,1.3407407407407408,0.32487922705314004,0.5174718196457326,0.20740740740740746,0.014814814814814808,0.2370370370370371,0.2592592592592593,0.12592592592592586,0.17037037037037034,0.19259259259259265,0.4074074074074074,0.1777777777777777,0.5407407407407406,0.029629629629629672,0.5037037037037037,0.10370370370370374,0.1703703703703704,0.4740740740740741,0.1925925925925926,0.03703703703703701,0.14074074074074067,0.09629629629629631,0.07407407407407413,0.08888888888888885,0.02962962962962956,0.014814814814814808,0.05185185185185184,0.06666666666666665,0.0,0.014814814814814836,0.03703703703703701,0.06666666666666665,0.05925925925925918,0.1037037037037038,0.12592592592592597,0.14187618509709293,0.07035869195126643,0.27178440551743277,0.4039015799674112,0.31410159484465566,0.2109714811446744
AY036118,temporal - 0.0 - 4 / temporal - 36.0 - 4 / temporal - 48.0 - 6 / temporal - 84.0 - 4 / temporal - 96.0 - 3 / temporal - 180.0 - 3 / temporal - 216.0 - 1 / temporal - 228.0 - 4 / temporal - 240.0 - 3 / temporal - 324.0 - 1 / temporal - 420.0 - 3,0.9333333333333333,0.1481481481481481,0.185024154589372,1.1924315619967794,0.5185185185185186,0.2888888888888889,0.5703703703703704,0.6962962962962962,0.3851851851851852,0.19259259259259262,0.11111111111111113,0.2518518518518519,0.007407407407407446,0.2518518518518518,0.28148148148148144,1.0962962962962963,0.15555555555555547,0.20740740740740746,1.0592592592592593,0.5111111111111112,0.6148148148148149,0.19259259259259265,0.26666666666666666,0.22962962962962974,0.14814814814814814,0.06666666666666667,0.1777777777777778,0.7407407407407407,0.12592592592592594,0.014814814814814836,0.28148148148148144,0.2592592592592593,0.1777777777777778,0.22962962962962963,0.08148148148148149,0.4740740740740741,0.07973512309895714,0.35756004295330135,0.2366941792761812,0.09270715607378932,0.43016750515526064,0.19276796829428866
Bgn,temporal - 36.0 - 3 / temporal - 300.0 - 5 / temporal - 372.0 - 7 / celltype - Epithelial - 6 / celltype - MEF - 6 / celltype - Stromal - 2 / celltype - Trophoblast - 5,0.03703703703703701,0.4296296296296296,0.19049919484702094,1.1979066022544282,0.15555555555555553,0.14814814814814814,0.20740740740740743,0.0592592592592593,0.11111111111111113,0.00740740740740746,0.07407407407407411,0.2962962962962963,0.037037037037037035,0.16296296296296298,0.18518518518518515,0.06666666666666667,0.26666666666666666,0.03703703703703698,0.2814814814814815,0.33333333333333337,0.14814814814814814,0.007407407407407363,0.07407407407407401,0.05185185185185193,0.17037037037037034,0.2814814814814815,0.45925925925925926,0.31851851851851853,0.18518518518518523,0.20740740740740737,0.0,0.3111111111111111,0.18518518518518515,0.06666666666666665,0.022222222222222143,0.1111111111111111,0.6024786374492488,0.8345867452853286,0.3624788892236929,0.7710797729978833,0.5036939545935193,0.6954188029785984
Blvrb,temporal - 396.0 - 4,0.14074074074074067,0.30370370370370364,0.12415458937198068,0.2871175523349436,0.04444444444444437,0.03703703703703712,0.10370370370370377,0.2962962962962963,0.014814814814814808,0.07407407407407413,0.059259259259259206,0.22222222222222227,0.38518518518518524,0.029629629629629534,0.10370370370370366,0.28148148148148144,0.41481481481481475,0.08888888888888885,0.10370370370370369,0.08888888888888885,0.0222222222222222,0.0,0.20740740740740743,0.04444444444444445,0.0222222222222222,0.03703703703703709,0.2962962962962964,0.5555555555555556,0.14814814814814814,0.0,0.31851851851851853,0.22222222222222227,0.10370370370370363,0.37777777777777777,0.09629629629629632,0.029629629629629672,0.2101814769509191,0.01748217586029016,0.3596857950232931,0.06684519405776118,0.12302599356502911,0.8383344237791354
Ccl7,temporal - 24.0 - 1 / temporal - 108.0 - 5,0.02962962962962956,0.4148148148148149,0.9929146537842191,0.6743961352657004,0.274074074074074,0.2962962962962963,0.3703703703703703,0.17037037037037028,0.19259259259259265,0.26666666666666666,0.2740740740740741,0.32592592592592595,0.5629629629629629,0.11111111111111105,0.14074074074074078,0.38518518518518513,0.02962962962962956,0.0222222222222222,0.007407407407407363,0.18518518518518526,0.16296296296296295,0.029629629629629617,0.014814814814814725,0.17037037037037042,0.02222222222222217,0.08888888888888896,0.20740740740740746,0.20740740740740746,0.12592592592592597,0.059259259259259206,0.029629629629629645,0.14074074074074078,0.08148148148148149,0.00740740740740746,0.044444444444444356,0.03703703703703712,0.4120196732278044,0.5152476248714646,0.10569791631072167,0.049119542243665715,0.25425251441924096,0.7635487697909429
Cdkn2a,temporal - 60.0 - 4,0.1777777777777778,0.14074074074074078,0.45885668276972624,0.32552334943639294,0.4000000000000001,0.5259259259259259,0.3703703703703704,0.4222222222222222,0.02962962962962966,0.05925925925925919,0.07407407407407401,0.08888888888888884,0.022222222222222185,0.1333333333333333,0.022222222222222185,0.49629629629629624,0.48888888888888893,0.05185185185185184,0.014814814814814822,0.20740740740740743,0.11111111111111113,0.022222222222222185,0.05185185185185194,0.1555555555555556,0.1185185185185185,0.0222222222222222,0.3481481481481481,0.36296296296296293,0.2592592592592593,0.34074074074074073,0.1037037037037038,0.288888888888889,0.11111111111111116,0.1333333333333333,0.08888888888888885,0.11111111111111116,0.16654723286502804,0.16209314216153498,0.010897561349391516,0.26402173797928175,0.11044272030314517,0.8164407793443783
Chchd10,temporal - 84.0 - 7 / temporal - 180.0 - 2 / temporal - 192.0 - 2 / temporal - 216.0 - 5 / celltype - Stromal - 5 / celltype - Trophoblast - 7 / celltype - iPSC - 6,0.1185185185185186,0.014814814814814822,0.2708534621578099,0.18196457326892107,0.5037037037037038,0.4074074074074074,0.5259259259259259,0.6666666666666665,0.01481481481481478,0.09629629629629632,0.08888888888888896,0.4740740740740741,0.5407407407407407,0.1703703703703703,0.20740740740740735,1.1259259259259258,1.1703703703703705,0.18518518518518517,0.7481481481481482,0.09629629629629632,0.05185185185185187,0.23703703703703696,0.37037037037037035,0.05925925925925929,0.1111111111111111,0.0222222222222222,0.06666666666666665,0.16296296296296298,0.22222222222222215,0.05925925925925918,0.3703703703703703,0.08888888888888896,0.2592592592592593,0.14074074074074078,0.11851851851851858,0.0,0.19927965153586613,0.41683673759882844,0.18853934655222582,0.5237022344669824,0.46698933616652893,1.173719178540916
Cldn7,temporal - 204.0 - 5 / celltype - Epithelial - 3,0.007407407407407357,0.007407407407407357,0.0,0.0,0.007407407407407357,0.007407407407407357,0.0,0.0,0.0,0.0,0.007407407407407357,0.05185185185185195,0.022222222222222185,0.029629629629629645,0.08148148148148149,0.05185185185185183,0.16296296296296298,0.3407407407407407,0.28888888888888886,0.029629629629629645,0.029629629629629645,0.03703703703703701,0.051851851851851816,0.2148148148148148,0.007407407407407474,0.20000000000000007,0.07407407407407401,0.03703703703703701,0.04444444444444448,0.10370370370370366,0.19259259259259262,0.10370370370370369,0.05185185185185184,0.0,0.0,0.06666666666666665,0.8956822134319822,0.29739103105004416,0.31675949713121243,0.28739732783832084,0.2259975837462984,0.267401518756486
Col1a2,temporal - 276.0 - 5 / temporal - 372.0 - 6 / celltype - Epithelial - 4 / celltype - MEF - 2 / celltype - Stromal - 3,0.02222222222222218,0.14074074074074067,0.10120772946859898,0.3456521739130434,0.06666666666666668,0.23703703703703713,0.6592592592592592,0.11851851851851847,0.14814814814814814,0.04444444444444445,0.11851851851851852,0.2,0.3333333333333334,0.32592592592592595,0.24444444444444446,0.037037037037037035,0.12592592592592589,0.02222222222222231,0.548148148148148,0.029629629629629617,0.30370370370370375,0.10370370370370369,0.029629629629629617,0.288888888888889,0.11111111111111116,0.10370370370370369,0.2592592592592593,0.1555555555555556,0.2518518518518518,0.1925925925925926,0.0,0.34814814814814815,0.3111111111111111,0.014814814814814836,0.12592592592592589,0.0,0.7706871008537135,0.9523559976906337,0.18424501858162512,0.7100684909745327,0.40515534434964173,0.9960248364122872
