Rank,Dataset,Gene,Type,Outgoing_Strength,Outgoing_Strength_Std,Top5_Outgoing_Targets
1,Semrau,Hoxb2,Gene,112.152,8.28,Zfp42 (-27.99); Pou5f1 (-22.66); Cd24a (+17.18); Nes (+6.67); Cdh2 (+6.55)
2,Semrau,RA,Stimulus,64.709,4.341,Esrrb (-7.33); Klf2 (-6.37); Dppa2 (+5.10); Fgf4 (-4.06); Sox2 (-3.98)
3,Semrau,Dnmt3a,Gene,58.088,7.691,Zfp42 (-5.95); Esrrb (-5.49); Nr0b1 (-4.13); Hoxb2 (+4.08); Klf4 (-3.89)
4,Semrau,Lamb1,Gene,54.751,17.01,Col4a2 (+17.82); Sparc (+11.73); Gata6 (+6.09); Dab2 (+5.62); Pdgfra (+4.81)
5,Semrau,Esrrb,Gene,43.884,4.956,Jarid2 (+9.45); Dppa4 (+7.82); Nr0b1 (+6.65); Dppa2 (+3.57); Zic3 (+2.70)
6,Semrau,Col4a2,Gene,43.325,12.778,Lamb1 (+14.54); Sparc (+12.59); Gata4 (+4.69); Krt8 (+3.42); Gata6 (+2.30)
7,Semrau,Klf2,Gene,33.713,6.399,Dppa2 (+8.27); Zic3 (+5.78); Zfp42 (+2.71); Dnmt3b (+2.61); Jarid2 (+1.77)
8,Semrau,Sox2,Gene,28.838,4.929,Esrrb (+9.51); Dppa2 (+7.09); Pou5f1 (+2.72); Zfp42 (+2.61); Klf4 (+1.69)
9,Semrau,Dppa2,Gene,20.506,3.784,Esrrb (-3.72); Hoxa1 (+3.09); Zfp42 (-2.74); Klf4 (-2.29); Hoxb2 (+1.87)
10,Semrau,Cdh2,Gene,16.377,5.59,Col4a2 (+4.99); Lamb1 (+4.34); Sparc (+2.23); Sox17 (+2.04); Nes (+1.49)
11,Semrau,Klf4,Gene,16.058,2.423,Nr0b1 (+3.70); Klf2 (+2.10); Zic2 (+1.95); Dppa4 (+1.39); Pou5f1 (+1.06)
12,Semrau,Sparc,Gene,13.982,0.866,Klf4 (+4.49); Fst (+1.87); Lamb1 (+1.67); Pdgfra (+1.26); Gata6 (-0.85)
13,Semrau,Dnmt3b,Gene,12.747,3.304,Zfp42 (-2.53); Pou3f1 (+2.01); Pou5f1 (-1.84); Jarid2 (-0.74); Dppa2 (-0.64)
14,Semrau,Fgf4,Gene,11.934,3.192,Klf2 (+3.21); Esrrb (+1.76); Zfp42 (+1.11); Pou5f1 (+1.01); Dnmt3b (+0.96)
15,Semrau,Cd24a,Gene,11.825,1.576,Hoxb2 (-4.27); Zfp42 (+1.26); Sparc (+0.97); Dnmt3a (-0.93); Hoxa1 (-0.58)
16,Semrau,Zfp42,Gene,9.917,5.116,Dnmt3b (+4.04); Dnmt3a (+3.07); Zic2 (+1.59); Dppa3 (+0.19); Jarid2 (+0.18)
17,Semrau,Fst,Gene,9.899,3.88,Klf4 (+3.69); Zfp42 (+1.04); Hoxa1 (-1.02); Nr0b1 (+0.99); Pax6 (-0.91)
18,Semrau,Dab2,Gene,9.375,9.067,Sox17 (+3.46); Zfp42 (-2.14); Lamb1 (+1.18); Sparc (+1.05); Pdgfra (+0.61)
19,Semrau,Dppa3,Gene,7.878,1.948,Zfp42 (+4.15); Zic3 (+0.49); Sox11 (-0.39); Meis1 (-0.39); Sox1 (-0.33)
20,Semrau,Hoxa1,Gene,6.45,3.211,Cdh2 (+1.27); Hoxb2 (+1.14); Sox11 (+0.83); Dppa2 (-0.82); Dnmt3b (-0.73)
21,Semrau,Sox11,Gene,5.581,3.276,Col4a2 (+2.35); Dnmt3a (-1.69); Sparc (+0.71); Nes (+0.36); Sox1 (+0.21)
22,Semrau,Zic3,Gene,5.141,2.131,Dnmt3a (+2.36); Pou3f1 (+0.48); Pou5f1 (+0.41); Fgf4 (+0.34); Sox2 (+0.26)
23,Semrau,Nes,Gene,3.651,2.156,Zfp42 (+0.90); Pou5f1 (+0.68); Esrrb (+0.56); Jarid2 (+0.27); Nr0b1 (+0.25)
24,Semrau,Dppa4,Gene,3.517,1.643,Jarid2 (-0.52); Dppa2 (-0.44); Sox1 (+0.41); Dnmt3a (+0.27); Zfp42 (-0.26)
